Id,Probability
1,0.04330126
2,0.036219366
3,0.019449154
4,0.08799662
5,0.129593
6,0.027149431
7,0.040610526
8,0.037509196
9,0.00093685125
10,0.1804088
11,0.007134391
12,0.015266718
13,0.0037690413
14,0.05363763
15,0.0582336
16,0.009004591
17,0.029959803
18,0.010558233
19,0.10754214
20,0.117259435
21,0.0060252007
22,0.009568836
23,0.0032826148
24,0.61668867
25,0.06967571
26,0.010642831
27,0.07579225
28,0.008768787
29,0.0499455
30,0.016610071
31,0.038214184
32,0.002412276
33,0.01555876
34,0.102590956
35,0.4671232
36,0.066135824
37,0.028458139
38,0.010795652
39,0.008945316
40,0.012219362
41,0.40242943
42,0.2358543
43,0.12434028
44,0.0054761446
45,0.018736253
46,0.0037444457
47,0.004271527
48,0.012042854
49,0.008990712
50,0.032983758
51,0.013330408
52,0.049840305
53,0.005039811
54,0.052800223
55,0.010063028
56,0.0555656
57,0.0038989666
58,0.21041182
59,0.09127245
60,0.07875168
61,0.011080622
62,0.0069204825
63,0.036255486
64,0.0075014057
65,0.014503914
66,0.010221469
67,0.008191431
68,0.18570615
69,0.0057799807
70,0.76484954
71,0.014029479
72,0.070976295
73,0.005154058
74,0.12542047
75,0.016226953
76,0.030329907
77,0.09227256
78,0.033056382
79,0.11120503
80,0.011047419
81,0.011204319
82,0.015413881
83,0.036269173
84,0.004448899
85,0.011022954
86,0.0107889585
87,0.07103311
88,0.0091882
89,0.03946216
90,0.017160537
91,0.052775998
92,0.0064534233
93,0.008696269
94,0.01284715
95,0.0038753909
96,0.09198717
97,0.049875915
98,0.059414577
99,0.034268383
100,0.008574866
101,0.028381813
102,0.062396534
103,0.0039020774
104,0.06088707
105,0.09425192
106,0.03129394
107,0.30595964
108,0.012404336
109,0.0030532891
110,0.02052598
111,0.011752688
112,0.022741837
113,0.019453645
114,0.47826165
115,0.07619826
116,0.0048100376
117,0.0011811863
118,0.0776937
119,0.016808745
120,0.0049142656
121,0.009385707
122,0.048380606
123,0.010449232
124,0.16266137
125,0.006373525
126,0.007996463
127,0.0026135985
128,0.009546261
129,0.005336162
130,0.020183347
131,0.017399088
132,0.068453476
133,0.0047829105
134,0.0885482
135,0.10323295
136,0.0061294823
137,0.2139511
138,0.037349597
139,0.010840862
140,0.022602119
141,0.0037870202
142,0.011481567
143,0.0035219053
144,0.011436988
145,0.30812448
146,0.0051263766
147,0.002458013
148,0.09834437
149,0.0032437397
150,0.031332534
151,0.0029990715
152,0.008387661
153,0.004263333
