user,prob
TestA_00000,0
TestA_00001,0
TestA_00002,0
TestA_00003,0
TestA_00004,0
TestA_00005,0
TestA_00006,0
TestA_00007,0
TestA_00008,0
TestA_00009,0
TestA_00010,0
TestA_00011,0
TestA_00012,0
TestA_00013,0
TestA_00014,0
TestA_00015,0
TestA_00016,0
TestA_00017,0
TestA_00018,0
TestA_00019,0
TestA_00020,0
TestA_00021,0
TestA_00022,0
TestA_00023,0
TestA_00024,0
TestA_00025,0
TestA_00026,0
TestA_00027,0
TestA_00028,0
TestA_00029,0
TestA_00030,0
TestA_00031,0
TestA_00032,0
TestA_00033,0
TestA_00034,0
TestA_00035,0
TestA_00036,0
TestA_00037,0
TestA_00038,0
TestA_00039,0
TestA_00040,0
TestA_00041,0
TestA_00042,0
TestA_00043,0
TestA_00044,0
TestA_00045,0
TestA_00046,0
TestA_00047,0
TestA_00048,0
TestA_00049,0
TestA_00050,0
TestA_00051,0
TestA_00052,0
TestA_00053,0
TestA_00054,0
TestA_00055,0
TestA_00056,0
TestA_00057,0
TestA_00058,0
TestA_00059,0
TestA_00060,0
TestA_00061,0
TestA_00062,0
TestA_00063,0
TestA_00064,0
TestA_00065,0
TestA_00066,0
TestA_00067,0
TestA_00068,0
TestA_00069,0
TestA_00070,0
TestA_00071,0
TestA_00072,0
TestA_00073,0
TestA_00074,0
TestA_00075,0
TestA_00076,0
TestA_00077,0
TestA_00078,0
TestA_00079,0
TestA_00080,0
TestA_00081,0
TestA_00082,0
TestA_00083,0
TestA_00084,0
TestA_00085,0
TestA_00086,0
TestA_00087,0
TestA_00088,0
TestA_00089,0
TestA_00090,0
TestA_00091,0
TestA_00092,0
TestA_00093,0
TestA_00094,0
TestA_00095,0
TestA_00096,0
TestA_00097,0
TestA_00098,0
TestA_00099,0
TestA_00100,0
TestA_00101,0
TestA_00102,0
TestA_00103,0
TestA_00104,0
TestA_00105,0
TestA_00106,0
TestA_00107,0
TestA_00108,0
TestA_00109,0
TestA_00110,0
TestA_00111,0
TestA_00112,0
TestA_00113,0
TestA_00114,0
TestA_00115,0
TestA_00116,0
TestA_00117,0
TestA_00118,0
TestA_00119,0
TestA_00120,0
TestA_00121,0
TestA_00122,0
TestA_00123,0
TestA_00124,0
TestA_00125,0
TestA_00126,0
TestA_00127,0
TestA_00128,0
TestA_00129,0
TestA_00130,0
TestA_00131,0
